"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
421,"G4_8b_TwilightOrderGuardKilled",195,[],"Torvian, Hand of the Saviour","Torvian, la Main du Sauveur","Torvian, Hand des Erlösers","救世主の片腕、トーヴィアン","구원자의 손 토르비안","Torvian, a Mão do Salvador","Торвиан, Длань Спасителя","Torvian, la Mano del Salvador","ทอร์เวียน หัตถ์แห่งผู้กอบกู้","救贖者之手．托維安","...what were they digging for?...","...qu'est-ce qu'ils creusaient ?...","… nach was haben sie versucht zu graben? …","……何を掘っていたのだろう？……","...무엇을 찾으려고 땅을 판 걸까요?...","... o que será que estavam escavando...?","...что они раскапывали?...","... ¿qué estaban excavando?...","...พวกขาขุดหาอะไรกันแน่?...","……他們在挖掘什麼……？",[5208],4,[72],[],"","WorldMapContentBossDone",419,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightGuard",0,"","","","","","","","","","","","",4830,4830,1,56
422,"G4_8b_Bells",195,[],"Golden Bells","Cloches dorées","Goldene Glocken","黄金の鐘","금 종","Sinos Dourados","Золотые колокола","Campanas doradas","ระฆังทอง","黃金之鐘","Religion offers a wealth of spiritual guidance.","La religion offre une richesse de conseils spirituels.","Religion bietet eine Fülle an spiritueller Führung.","宗教は豊かな精神的導きを与える。","종교는 영혼을 이끄는 길잡이가 되어 준다.","A religião oferece orientação espiritual em abundância.","Религия богата на духовное наставничество.","La religión ofrece una gran riqueza de orientación espiritual.","ศาสนาให้การชี้นำ\r\nทางจิตวิญญาณ\r\nอย่างไม่ขาดสาย","宗教提供了豐富的精神指引。",[3874],4,[72],[5213],"","WorldMapContentBag",419,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBells",0,"","","","","","","","","","","","",4830,4830,"",56
423,"G4_8b_BellsFound",195,[],"Golden Bells","Cloches dorées","Goldene Glocken","黄金の鐘","금 종","Sinos Dourados","Золотые колокола","Campanas doradas","ระฆังทอง","黃金之鐘","The instruments of faith are valuable indeed.","Les instruments de la foi sont vraiment précieux.","Die Instrumente des Glaubens sind in der Tat wertvoll.","信仰の道具は実に貴重だ。","신앙에 쓰이는 도구는 실로 값진 것입니다.","Os instrumentos da fé são mesmo valiosos.","Инструменты веры и в самом деле ценны.","Los instrumentos de la fe son valiosos sin duda.","เครื่องมือแห่งศรัทธา\r\nย่อมมีค่าเป็นแน้แท้","信仰的媒介確實價值不斐。",[5213],4,[72],[],"","WorldMapContentBagDone",419,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBells",0,"","","","","","","","","","","","",4830,4830,1,56
424,"G4_10_1",197,[197],"The Excavation","L'Excavation","Die Ausgrabungsstätte","発掘現場","발굴터","A Escavação","Раскопки","La excavación","สถานขุดค้น","挖掘","Ruins from a time before Time...","Des ruines datant d'une époque antérieure au Temps...","Ruinen aus einer Zeit vor der Zeit …","『時』よりも前の時代の遺跡……","시간이 있기 전부터 존재하던 폐허입니다...","Ruínas de uma era esquecida...","Развалины доисторических времён...","Ruinas de un tiempo anterior al tiempo...","ซากปรักหักพัง\r\nจากยุคเก่าแก่แต่ช้านาน","遠古時代的遺蹟……",[3874],4,[3876],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinDigSite","","","","","","","","","","","","","",4830,4830,"",56
425,"G4_10Boss",197,[],"Benedictus, First Herald","Bénédictus, Premier héraut","Benedictus, Erster Herald","第一の使者、ベネディクタス","첫 번째 전령 베네딕투스","Benedictus, Arauto Primevo","Бенедиктус, Первый вестник","Benedictus, Primer heraldo","เบเนดิกตัส ผู้แทนคนแรก","第一使者．本篤特斯","...he proclaims the truth of the New Tomorrow...","…il révèle la vérité de la Nouvelle aurore…","… er verkündet die Wahrheit des Neuen Morgens … ","……彼は『新たな明日』の真実を宣言する……","...그는 새로운 내일의 진실을 선포합니다...","... ele proclama a verdade do novo amanhã...","...он провозглашает истину Нового будущего...","...proclama la verdad de un nuevo mañana...","...เขาป่าวประกาศ\r\nสัจธรรมแห่ง\r\nอนาคตวันใหม่...","……他宣示著嶄新明日的真理……",[3876],4,[72],[5209],"","WorldMapContentBoss",424,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightOrderOverlord",0,"","","","","","","","","","","","",4830,4830,"",56
426,"G4_10BossDefeated",197,[],"Benedictus, First Herald","Bénédictus, Premier héraut","Benedictus, Erster Herald","第一の使者、ベネディクタス","첫 번째 전령 베네딕투스","Benedictus, Arauto Primevo","Бенедиктус, Первый вестник","Benedictus, Primer heraldo","เบเนดิกตัส ผู้แทนคนแรก","第一使者．本篤特斯","...his head shall adorn Tavakai's belt...","…sa tête ornera la ceinture de Tavakai…","… sein Kopf soll nun Tavakais Gürtel schmücken … ","……彼の首はタヴァカイのベルトを飾るだろう……","...그의 머리가 타바카이의 허리띠를 장식하게 될 것입니다...","... a cabeça dele vai enfeitar o cinto de Tavakai...","...его голова украсит ремень Тавакаи...","...su cabeza adornará el cinturón de Tavakai...","...หัวเขาจะประดับ\r\nเข็มขัดของทาวาไค...","……他的頭將懸掛於塔瓦凱的腰帶之上……",[5209],4,[72],[],"","WorldMapContentBossDone",424,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightOrderOverlord",0,"","","","","","","","","","","","",4830,4830,1,56
427,"G4_ShipMarker_NgatiTenua_a",198,[],"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","","","","","","","","","","",[3861],4,[72],[345],"","",429,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgatiTenua","","","","","","","","","","","","","",4830,4830,"",56
428,"G4_ShipMarker_NgatiTenua_b",199,[],"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","","","","","","","","","","",[345],4,[72],[],"","",430,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgatiTenua","","","","","","","","","","","","","",4830,4830,"",56
429,"G4_11_1a",198,[198],"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","Home of the Tukohama tribe.","Foyer de la tribu Tukohama.","Heimat des Tukohama-Stammes.","トゥコハマ族の住処。","투코하마 부족의 고향입니다.","Lar da tribo Tukohama.","Дом племени Тукохамы.","El hogar de la tribu de Tukohama.","บ้านของเผ่าทูโคฮาม่า","圖克哈瑪部族的家園",[3861],4,[3886],[345],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgatiTenua","","","","","","","","","","","","","",4830,4830,"",56
430,"G4_11_1b",199,[199],"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","The horizon burns red.","L'horizon brûle rouge.","Der Horizont glüht rot.","地平線が赤く燃える。","지평선이 붉게 타오릅니다.","O horizonte arde em vermelho.","Красным горит горизонт.","El horizonte arde de color rojo.","ขอบฟ้าลุกโชนเป็นสีเลือด","地平線的彼端被燒得赤紅。",[345],4,[3887],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgatiTenua","","","","","","","","","","","","","",4830,4830,"",56
431,"G4_11_1b_Butcher",199,[],"Mad Butcher","Le Boucher fou","Wahnsinniger Schlächter","狂気のブッチャー","미친 도살자","Maníaco Assassino","Безумный мясник","Carnicero loco","นักเชือดสิ้นสติ","瘋狂屠宰者","...blood fever has driven him insane...","...la fièvre du sang l'a rendu fou...","… Blutfieber hat ihn wahnsinnig gemacht …","……血熱が彼を狂わせてしまった……","...피의 열병 때문에 제정신이 아닙니다...","... a febre sangrenta o enlouqueceu...","...кровавая лихорадка лишила его рассудка...","...la fiebre de sangre lo ha llevado a la locura...","...ไข้โลหิตพรากสติไปจากเขา...","……血熱病讓他陷入瘋狂……",[3887],4,[72],[5214],"","WorldMapContentRareMonster",430,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinButcher",0,"","","","","","","","","","","","",4830,4830,"",56
432,"G4_11_1b_ButcherKilled",199,[],"Mad Butcher","Le Boucher fou","Wahnsinniger Schlächter","狂気のブッチャー","미친 도살자","Maníaco Assassino","Безумный мясник","Carnicero loco","นักเชือดสิ้นสติ","瘋狂屠宰者","...a dark day, but at least it's over...","...un jour sombre, mais au moins c'est fini...","… ein dunkler Tag, doch wenigstens ist es jetzt vorbei …","……嫌な一日だったが、とりあえずこれで終わりだ……","...암울한 날이지만, 그래도 이제 끝났군요...","... foi um dia pesado, mas ainda bem que acabou...","...чёрный день, но, хотя бы, он кончился...","...un día oscuro, pero al menos ha terminado...","...เป็นวันที่มืดมน\r\nแต่ในที่สุดมันก็จบเสียที...","……真是黑暗的一天，但總算到此結束……",[5214],4,[72],[],"","WorldMapContentRareMonsterDone",430,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinButcher",0,"","","","","","","","","","","","",4830,4830,1,56
433,"G4_11_1b_Abyss",199,[],"Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵","The Abyssals are taking advantage of the terror.","Les Abyssaux tirent profit de la terreur.","Die Abgründigen machen sich die Angst zunutze.","アビサルたちは恐怖を利用している。","심연의 존재들이 공포를 틈타 움직이고 있다.","Os abissais estão se aproveitando do terror.","Создания Бездны оборачивают страх себе на пользу.","Los abisales están utilizando el terror.","พวกอะบิสกำลังใช้ประโยชน์\r\nจากความหวาดกลัว","深淵族正利用這股恐懼大發橫財。",[3887],4,[72],[926],"","WorldMapContentAbyssChest",430,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgakanuAbyss",0,"","","","","","","","","","","","",4830,4830,"",56
434,"G4_11_1b_AbyssDone",199,[],"Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵","The Karui will not be caught off guard again.","Les Karuis ne se laisseront plus prendre au dépourvu.","Die Karui werden kein zweites Mal überrascht werden.","カルイは二度と油断を突かれることはない。","카루이는 다시는 허를 찔리지 않을 것이다.","Os karui não serão pegos desprevenidos de novo.","Каруи не выйдет снова застать врасплох.","No volverán a pillar desprevenidos a los karui.","พวกคารุยจะไม่ถูก\r\nเล่นทีเผลออีกต่อไป","卡魯族不會再被打得措手不及。",[926],4,[72],[],"","WorldMapContentAbyssChestDone",430,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNgakanuAbyss",0,"","","","","","","","","","","","",4830,4830,1,56
435,"G4_11_2",200,[200],"Heart of the Tribe","Le Cœur de la Tribu","Herz des Stammes","部族の心臓","부족의 심장부","Coração da Tribo","Сердце племени","El corazón de la tribu","ใจกลางเผ่า","部族之心","Blood fever rages in the flame-cast night.","La fièvre du sang fait rage dans la nuit enflammée.","Blutfieber wütet in der lodernden Nacht.","炎で照らされた夜で血熱が荒れ狂う。","불길이 춤을 추는 밤에 피의 열망이 솟구칩니다.","A febre sangrenta arde na noite em chamas.","Кровавая лихорадка бушует в объятой пламенем ночи.","La fiebre de sangre se propaga en la noche en llamas.","ไข้โลหิตลุกลาม\r\nในยามค่ำคืนที่โชติช่วง\r\nไปด้วยเปลวเพลิง","黑夜中的火光映照著熱血澎湃。",[3887],4,[3888],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBloodFeverPa","","","","","","","","","","","","","",4830,4830,"",56
