"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
425,187,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Fire] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
426,188,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Cold] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
427,189,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Lightning] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
428,190,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Chaos] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
429,191,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Attack] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
430,192,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Spell|Caster] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
431,193,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances Speed modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
432,194,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Attributes|Attribute] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
433,195,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Flow Untethered to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
434,196,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Fracturing Spinner to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
435,197,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Tempest's Binding to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
436,198,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Rippling Thoughts to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
437,199,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Enmity Divine to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
438,200,10,2,"upgrade_unique","Right click this item then left click an applicable Harbinger unique item to upgrade it.","","Upgrades The Unshattered Will to a more powerful version",[6951],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable Harbinger unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable Harbinger unique item to upgrade it.",""
439,858,10,2,"add_influence_mod_to_rare","Right click this item then left click a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.","","Adds Crusader influence and a new Crusader modifier to a rare item",[9034],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",0,[],[],[],"","","","Drag this item onto a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",""
440,859,10,2,"add_influence_mod_to_rare","Right click this item then left click a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.","","Adds Redeemer influence and a new Redeemer modifier to a rare item",[9034],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",0,[],[],[],"","","","Drag this item then onto a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",""
441,860,10,2,"add_influence_mod_to_rare","Right click this item then left click a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.","","Adds Hunter influence and a new Hunter modifier to a rare item",[9034],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",0,[],[],[],"","","","Drag this item onto a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",""
442,861,10,2,"add_influence_mod_to_rare","Right click this item then left click a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.","","Adds Warlord influence and a new Warlord modifier to a rare item",[9034],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",0,[],[],[],"","","","Drag this item onto a high-level rare item with no influence to apply it. Rare items can have up to six random modifiers.",""
443,862,10,4,"transfer_item_influence","Right click this item, then left click the item you wish to take the influence from, then left click an item of the same item class you wish to apply it to.","","Destroys an item, applying its influence to another of the same item class\r\nThe second item is reforged as a rare item with both influence types and new modifiers",[8225],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on the item you wish to take the influence from, then <<xbox_button_a>> on an item of the same item class you wish to apply it to.",0,[],[],[],"","","","Drag this item onto the item you wish to take the influence from, onto an item of the same item class you wish to apply it to.",""
444,864,50000,1,"heist_coin","Right click on this item while in a Town or Hideout to use it.","","Creates a portal to the Rogue Harbour from a Town or Hideout\nUsed as Currency for services in the Rogue Harbour",[],"","",[],[],0,"<<xbox_button_x>> to use.",0,[],[],[],"","","","Tap on this item while in a Town or Hideout to use it.",1
445,202,100,3,"","Combine 100 Splinters to create a Ritual Vessel.",203,"",[],"","",[],[],0,"Combine 100 Splinters to create a Ritual Vessel.",0,[],[],[7367],"","","","Combine 100 Splinters to create a Ritual Vessel.",""
446,203,10,2,"ritual_stone","Right-click this item then left-click a Ritual Altar to store the monsters from the completed Ritual in this item. Cannot be used on a Ritual in a map opened with a Blood-Filled Vessel.","","Stores the monsters slain for the first time from a completed Ritual Altar for future use",[],"","",[],[],5000,"Use this item on a Ritual Altar to store the monsters from the completed Ritual in the item. Cannot be used on a Ritual in a map opened with a Blood-Filled Vessel.",0,[],[],[],"","","","Drag this item onto a Ritual Altar to store the monsters from the completed Ritual in this item. Cannot be used on a Ritual in a map opened with a Blood-Filled Vessel.",""
447,1058,10,2,"upgrade_influence_mod","Right click this item then left click an item with at least two Influenced Modifiers to apply it.","","Removes one Influenced Modifier from an item with at least two Influenced Modifiers and upgrades another Influenced Modifier. Upgrading a modifier of the highest tier transforms the modifier into an Elevated Modifier. Attempting to upgrade an Elevated Modifier rerolls its values. Can be used on Body Armours, Boots, Gloves and Helmets.",[8226],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item with at least two Influenced Modifiers to apply it.",0,[],[],[],"","","","Drag this item onto an item with at least two Influenced Modifiers to apply it.",""
448,639,1,3,"","Can be used in a personal Map Device alongside a Map to add the monsters stored from a previous Ritual Altar to a Ritual Altar in that Map.","","",[],"","",[],[],0,"Can be used in a personal Map Device alongside a Map to add the monsters stored from a previous Ritual Altar to a Ritual Altar in that Map.",0,[],[],[],"","","","Can be used in a personal Map Device alongside a Map to add the monsters stored from a previous Ritual Altar to a Ritual Altar in that Map.",""
449,1143,10,2,"add_flask_seal","Right click this item then left click a flask to apply it.","","Adds an enchantment to a utility flask that will improve it but prevent it from gaining charges during its effect. Replaces any existing enchantment.",[7798],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a flask to apply it.",100,[],[],[],"","","","Drag this item onto a flask to apply it.",""
450,1144,10,2,"add_flask_injector","Right click this item then left click a flask to apply it.","","Adds an enchantment to a utility flask that will cause it to be used when certain conditions are met. Replaces any existing enchantment.",[7799],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a flask to apply it.",100,[],[],[],"","","","Drag this item onto a flask to apply it.",""
