"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
446,"Scion14","Women like you give the rest of us a bad name.","Les femmes comme vous portent atteinte à la réputation de toutes les autres.","Frauen wie Euch haben wir es zu verdanken, wenn wir einen schlechten Ruf haben.","あなたのような人が、女性の名を貶めているのです。","당신은 우리 여성의 수치야.","Mulheres como você acabam com a nossa reputação.","Из-за таких, как ты, женщин считают стервами.","Las mujeres como tú dan una mala imagen para el resto.","ผู้​หญิง​อย่าง​แก​ทำให้​พวก​เรา​ที่​เหลือ​ต้อง​เสีย​ชื่อ","就是像妳這樣的傢伙敗壞我們女人的名聲。","Audio/Dialogue/Character/StrDexInt/Event/Sc_14_KillAlira.ogg","",10000
447,"Scion15","There's your 'peace', Oak. The only peace that anyone can expect in Wraeclast.","La voilà votre fameuse « paix », Orme. La seule paix que l'on puisse espérer à Wraeclast.","Da habt Ihr Euren \""Frieden\"", Oak. Den einzigen Frieden, den man in Wraeclast erwarten kann.","ご所望の「平和」ですわよ、オーク。レイクラストで手に入れられる唯一のね。","이게 바로 진짜 평화야, 오크. 레이클라스트의 모든 이가 반길 만한 평화라고.","Tome sua \""paz\"", Oak. A única paz que pode se obter em Wraeclast.","Дуб, вот он, твой «покой». На Рэкласте другого покоя быть не может.","Ahí tienes tu \""paz\"", Oak. La única paz que alguien puede esperar en Wraeclast.","นี่​แหละ 'สันติภาพ' ของ​แก โอ๊ค มัน​เป็น​สันติภาพ​แบบ​เดียว​ที่​ใคร​ต่อ​ใคร​พบ​ได้​ใน​เวร์​แค​ลส์ท","歐克，這就是你要的和平。在瓦爾克拉斯安息可是奢侈的享受。","Audio/Dialogue/Character/StrDexInt/Event/Sc_15_KillOak.ogg","",10000
448,"Scion16","Oh my God, no! If there's a way to put this right, I have to find it.","Oh mon Dieu, non ! S'il est possible de remettre les choses en ordre, je dois trouver comment.","Oh, mein Gott, nein! Wenn es etwas gibt, das das wiedergutmachen kann, muss ich es finden.","あら嫌ですわ！もしこれを正せる道があるのなら、見つけなければ。","맙소사, 안 돼! 원래대로 돌려놓을 방법이 있는지 찾아봐야겠어.","Ó meu Deus, não! Se houver uma forma de ajeitar isso, eu preciso encontrá-la.","О Боже, нет! Если есть способ всё исправить, я должна его найти.","¡Por Dios, no! Si hay algún modo de reparar esto, debo encontrarlo.","พระเจ้า​ช่วย ไม่นะ! หาก​มี​วิธี​แก้ไข​มัน​ให้​ถูก​ต้อง​ได้ ข้า​จะ​หา​มัน​ให้​เจอ","諸神在上，不！我一定得找到讓一切回到正軌的辦法。","Audio/Dialogue/Character/StrDexInt/Event/Sc_16_ReleaseDarkness.ogg","",10000
449,"Scion17","The least we can do in life is tidy up after ourselves.","Le moins que l'on puisse faire dans la vie, c'est de nettoyer après notre passage.","Das Mindeste, was wir in unserem Leben tun können, ist, hinter uns aufzuräumen.","少なくとも私たちの人生でできることは、自分の後始末をすることですわ。","인생을 살면서 적어도 몸가짐은 단정하게 해야겠지.","O mínimo que podemos fazer nessa vida é limparmos nossa sujeira.","В жизни надо оставить след и не наследить перед уходом.","Lo menos que podemos hacer en la vida es limpiar nuestro propio desorden.","อย่าง​น้อย​เรื่อง​ที่​เรา​ทำได้​ใน​ชีวิต​นี้​คือ​การ​แก้ไข​สิ่ง​ที่​ตัว​เอง​เคย​ทำ​พลาด​ไป","我們唯一能做的只有獨善其身。","Audio/Dialogue/Character/StrDexInt/Event/Sc_17_KillVaalOversoul.ogg","",10000
450,"Scion18","Sarn, where emperors ruled... and died, just like everyone else.","Sarn, où les empereurs ont régné... et sont morts, comme n'importe qui d'autre.","Sarn, wo einst Kaiser herrschten ... und starben – wie alle anderen.","サーン、皇帝が支配し、そして死んだ街。皆と同じようにね。","황제는 사안을 통치하다가... 죽었어. 모두와 마찬가지였지.","Sarn, onde os imperadores dominavam... e morriam, que nem todo mundo.","Сарн, престол императоров... и их могила, как и прочих смертных.","Sarn. Donde los emperadores reinaron... y murieron, como todo el mundo.","เมือง​ซาร์น ที่​ที่​จักรพรรดิ​ครอง​ราชย์​... และ​ตาย​ไป เช่น​เดียว​กับ​คน​อื่นๆ","薩恩城…帝王坐上寶座，然後死去，與任何凡人無異。","Audio/Dialogue/Character/StrDexInt/Event/Sc_18_EnterSarn.ogg","",10000
451,"Scion19","You are remembered only for the mess you leave behind.","Si l'on doit se souvenir de vous, ce sera uniquement pour le chaos que vous laisserez dans votre sillage","Man bleibt nur in Erinnerung für das Chaos, das man hinterlässt.","後世に語り継がれるあなたの功績は、混乱を残したということのみですわ。","사람은 세상에 남긴 찌꺼기로만 기억되는 거야.","As pessoas só lembram dos problemas que você causou.","Человека будут помнить по его делам... или делишкам.","Solo serás recordado por el desorden que dejas tras de ti.","เจ้า​จะ​ถูก​จดจำ​แค่​ความ​ผิด​พลาด​ที่​เจ้า​ทำ​ทิ้ง​ไว้​เท่านั้น","人們只會記得你留下的爛攤子。","Audio/Dialogue/Character/StrDexInt/Event/Sc_19_EnterSewer.ogg","",10000
452,"Scion20","If left to its own devices, all of Wraeclast would come to be this way.","Si l'on ne fait rien, tout Wraeclast deviendra ainsi.","Würde man Wraeclast seinen eigenen Werken überlassen, wäre die ganze Gegend hier so.","放っておけば、レイクラスト全体がこうなりますわ。","레이클라스트를 사람들의 의지대로 흘러가게 놔둔다면 이런 결과를 초래하겠지.","Se não fizermos nada, toda Wraeclast pode acabar assim.","Если оставить всё как есть, таким станет весь Рэкласт.","Si se deja a sus mecanismos funcionar sin control, todo Wraeclast terminaría en este estado.","หาก​ปล่อย​ให้​มัน​เป็น​ไป​เช่น​นี้ ทุก​แห่ง​ใน​เวร์แคลส์ท​ย่อม​กลาย​เป็น​เช่น​นี้​หมด​แน่","如果沒有人願意伸出援手，整個瓦爾克拉斯終將變成這副慘樣。","Audio/Dialogue/Character/StrDexInt/Event/Sc_20_SeenUndyingSphincter.ogg","",10000
453,"Scion21","It seems that even Time loses its will in Wraeclast.","On dirait que même le temps perd sa volonté à Wraeclast.","Selbst die Zeit scheint in Wraeclast keinen Willen mehr zu haben.","レイクラストでは、時間さえも目的を失ってしまったようですわね。","레이클라스트에서는 세월마저 뜻을 잃는구나.","Parece que até mesmo o Tempo perde sua vontade em Wraeclast.","Как будто само время безвольно отступает перед кошмаром.","Parece que hasta el Tiempo pierde su voluntad en Wraeclast.","เหมือน​ว่า​กระทั่ง​เวลา​ก็​ยัง​เสีย​แรง​ใจ​ใน​เวร์แคลส์ท","在瓦爾克拉斯，就連時間也失去其自由的意志。","Audio/Dialogue/Character/StrDexInt/Event/Sc_21_EnterSolaris.ogg","",10000
454,"Scion22","Men like you shall not inherit Wraeclast.","Les hommes de votre espèce n'hériteront pas de Wraeclast.","Männer wie Ihr werden Wraeclast niemals beerben.","あなたみたいな人はレイクラストを継ぐべきではありませんわ。","당신 같은 사람이 레이클라스트를 차지해선 안 돼.","Homens como você não herdarão Wraeclast.","Рэкласт не достанется подобным тебе.","Los hombres como tú no heredarán Wraeclast.","ผู้ชาย​อย่าง​แก​ไม่มี​วัน​ได้​รับ​มรดก​จาก​เวร์แคลส์ท​เป็น​แน่","像你這樣的傢伙不配居住在瓦爾克拉斯。","Audio/Dialogue/Character/StrDexInt/Event/Sc_22_KillGravicius.ogg","",10000
455,"Scion23","I know of only one woman capable of such depravity. Piety.","Je ne connais qu'une femme capable d'une telle dépravation : Piété.","Ich kenne nur eine Frau, die zu einer solchen Verdorbenheit imstande ist. Piety.","このような堕落ができる女性は一人しか知りませんわ。パイエティ。","이러한 악행을 저지를 만한 사람은 한명 뿐이야. 파이어티지.","Eu só sei de uma mulher capaz de tal depravação. Piety.","Я знаю только одну настолько порочную девку. Вера.","Conozco solo a una mujer capaz de tanta depravación. Piedad.","ข้า​รู้จัก​ผู้​หญิง​เพียง​คน​เดียว​ที่​ทำ​เรื่อง​เลว​ทราม​เช่น​นี้​ได้ นั่น​ก็​คือ​พายตี้","我只想到得一個女人能幹出這樣的惡行：派蒂。","Audio/Dialogue/Character/StrDexInt/Event/Sc_23_EnterLunaris.ogg","",10000
456,"Scion24","You should die a thousand times over for what you've done.","Vous devriez souffrir mille morts de plus pour ce que vous avez fait.","Für Eure schändlichen Taten sollt Ihr tausend Tode erleiden.","あなたのしたことは、万死に値しますわ。","당신이 한 짓을 생각하면 천번은 죽이고 싶을 정도야.","Você deveria morrer mil vezes pelo que fez.","После содеянного тебя мало казнить всеми известными миру способами.","Deberías morir miles de veces por lo que has hecho.","แก​ควร​ตาย​เป็น​พันๆ ​ครั้ง​จาก​สิ่ง​ที่​แก​ได้​ทำ​ลง​ไป","妳該為妳所做的一切死上千百次！","Audio/Dialogue/Character/StrDexInt/Event/Sc_24_KillPiety.ogg","",10000
457,"Scion25","This tower says it all. Pride killed the Eternal Empire.","Cette tour en dit long. L'orgueil a tué l'Empire éternel.","Dieser Turm sagt alles. Stolz hat das Ewige Kaiserreich ausgelöscht.","この塔を見れば一目瞭然ですわ。高慢さが永遠の帝国を滅ぼしたのです。","이 탑이 사실을 대변하고 있어. 영원한 제국은 교만함으로 멸망한 거야.","Esta torre diz tudo. O orgulho matou o Império Eterno.","Башня говорит сама за себя. Вечную империю сгубила гордыня.","La torre lo dice todo. El orgullo mató al Imperio Eterno.","หอคอย​นี้​บ่ง​บอก​อย่าง​กระจ่าง​แจ้ง จักรวรรดิ​นิรันดร์​ถูก​ทำลาย​จาก​ความเย่อหยิ่ง","這座高塔說明了一切：驕傲催毀了不朽帝國。","Audio/Dialogue/Character/StrDexInt/Event/Sc_25_EnterSceptre.ogg","",10000
458,"Scion26","I prefer the view from where I'm standing now, Dominus.","Je préfère la vue de là d'où je suis, Dominus.","Ich bevorzuge die Aussicht von meinem Standpunkt aus, Dominus.","ここから見る眺めのほうが好きですわ、ドミナス。","내가 지금 서 있는 곳의 풍경이 더 아름다워, 도미누스.","Prefiro a vista de onde estou agora, Dominus.","Владыка, мне нравится быть там, где я сейчас.","Prefiero la vista desde donde me encuentro, Dóminus.","ข้า​ชอบ​ทิวทัศน์​จาก​จุด​ที่​ข้า​ยืน​มากกว่า โดมินัส","我挺享受從這裡望去的景致，神主。","Audio/Dialogue/Character/StrDexInt/Event/Sc_26_KillDominus.ogg","",10000
